Count,Lon,Lat,Cumulative_Lon,Cumulative_Lat
1,-122.069312,37.618114,-122.069312,37.618114
2,-74.182055,40.731283,-98.125684,39.174699
3,-74.182055,40.731283,-90.144474,39.69356
4,-76.880426,40.282145,-86.828462,39.840706
5,-76.880426,40.282145,-84.838855,39.928994
6,-122.069312,37.618114,-91.043931,39.543847
7,-111.659769,40.26131,-93.989051,39.646342
8,-111.659769,40.26131,-96.19789,39.723213
9,-111.659769,40.26131,-97.915877,39.783001
10,-111.659769,40.26131,-99.290266,39.830832
11,-111.659769,40.26131,-100.414766,39.869967
12,-111.659769,40.26131,-101.35185,39.902579
13,-111.659769,40.26131,-102.144767,39.930173
14,-111.659769,40.26131,-102.82441,39.953826
15,-111.684215,43.971021,-103.415064,40.221639
16,-111.684215,43.971021,-103.931885,40.455975
17,-111.684215,43.971021,-104.387905,40.662743
18,-111.684215,43.971021,-104.793255,40.846536
19,-111.684215,43.971021,-105.155938,41.010983
20,-111.684215,43.971021,-105.482351,41.158984
21,-111.684215,43.971021,-105.777678,41.292891
22,-111.684215,43.971021,-106.046157,41.414624
23,-111.684215,43.971021,-106.29129,41.525772
24,-111.684215,43.971021,-106.515995,41.627657
25,-111.684215,43.971021,-106.722724,41.721392
26,-111.684215,43.971021,-106.913551,41.807916
27,-111.690162,43.971324,-107.090462,41.888042
28,-111.690162,43.971324,-107.254737,41.962445
29,-111.690162,43.971324,-107.407683,42.031717
30,-111.690162,43.971324,-107.550432,42.09637
31,-111.690162,43.971324,-107.683972,42.156853
32,-111.690162,43.971324,-107.809165,42.213555
33,-111.690162,43.971324,-107.926771,42.266821
34,-111.690162,43.971324,-108.037459,42.316953
35,-111.649211,40.106453,-108.140652,42.253796
36,-111.649211,40.106453,-108.238112,42.194148
37,-111.649211,40.106453,-108.330304,42.137723
38,-111.649211,40.106453,-108.417644,42.084269
39,-111.707555,40.307604,-108.502,42.038713
40,-111.707555,40.307604,-108.582139,41.995436
41,-111.707555,40.307604,-108.658369,41.954269
42,-111.707555,40.307604,-108.730969,41.915063
43,-111.707555,40.307604,-108.800191,41.87768
44,-111.707555,40.307604,-108.866268,41.841996
45,-111.707555,40.307604,-108.929408,41.807899
46,-111.707555,40.307604,-108.989802,41.775284
47,-111.707555,40.307604,-109.047627,41.744056
48,-111.707555,40.307604,-109.103042,41.71413
49,-111.707555,40.307604,-109.156195,41.685426
50,-111.707555,40.307604,-109.207222,41.657869
51,-111.68679,40.267677,-109.255841,41.630611
52,-111.68679,40.267677,-109.30259,41.6044
53,-111.68679,40.267677,-109.347575,41.579179
54,-111.68679,40.267677,-109.390894,41.554892
55,-111.68679,40.267677,-109.432638,41.531488
56,-111.68679,40.267677,-109.47289,41.50892
57,-111.68679,40.267677,-109.511731,41.487144
58,-111.68679,40.267677,-109.549232,41.466119
59,-111.68679,40.267677,-109.585461,41.445806
60,-111.68679,40.267677,-109.620484,41.426171
61,-111.68679,40.267677,-109.654358,41.407179
62,-111.68679,40.267677,-109.687139,41.3888
63,-111.68679,40.267677,-109.718879,41.371004
64,-111.68679,40.267677,-109.749628,41.353765
65,-111.68679,40.267677,-109.77943,41.337056
66,-111.68679,40.267677,-109.80833,41.320853
67,-111.68679,40.267677,-109.836366,41.305134
68,-111.68679,40.267677,-109.863578,41.289877
69,-111.68679,40.267677,-109.890002,41.275063
70,-111.68679,40.267677,-109.91567,41.260672
71,-111.68679,40.267677,-109.940616,41.246686
72,-111.68679,40.267677,-109.964868,41.233088
73,-111.68679,40.267677,-109.988456,41.219864
74,-111.68679,40.267677,-110.011406,41.206996
75,-111.68679,40.267677,-110.033745,41.194472
76,-111.807224,41.745434,-110.05708,41.201721
77,-111.807224,41.745434,-110.079809,41.208783
78,-111.807224,41.745434,-110.101956,41.215663
79,-111.68679,40.267677,-110.122017,41.203663
80,-111.807224,41.745434,-110.143082,41.210435
81,-111.807224,41.745434,-110.163627,41.21704
82,-111.807224,41.745434,-110.183671,41.223484
83,-111.838168,41.735504,-110.203604,41.229653
84,-111.816879,41.747152,-110.22281,41.235813
85,-111.816879,41.747152,-110.241564,41.241829
86,-111.68679,40.267677,-110.258369,41.230502
87,-111.68679,40.267677,-110.274787,41.219435
88,-111.68679,40.267677,-110.290833,41.208619
89,-111.68679,40.267677,-110.306518,41.198047
90,-111.68679,40.267677,-110.321854,41.18771
91,-111.68679,40.267677,-110.336853,41.177599
92,-111.693974,40.278071,-110.351605,41.167822
93,-111.693974,40.278071,-110.366039,41.158255
94,-111.693974,40.278071,-110.380166,41.148891
95,-111.693974,40.278071,-110.393995,41.139724
96,-116.300843,43.657489,-110.455525,41.165951
